Incident,City,Date,Entity,Location,Opposition Type,Severity,Source URL,State,County,Scope,Issue Category,Objective,Authority Level,Status,Community Outcome,Hyperscaler,Company,Project Name,Investment Million USD,Megawatts,Acreage,Sponsors,Opposition Groups,Summary,Sources,Opposition Website,Opposition Facebook,Opposition Instagram,Petition URL,Petition Signatures,data_source,lat,lon
Box Elder County imposes 180-day moratorium on new,,,Unknown,,,1,https://news.google.com/rss/articles/CBMizwFBVV95cUxPRlhpRjFkd1VNenRmTzZoNDdJOWdBZjl3Z2YzQUdaczAwS0ZWb3U2MEpxWXFPSXpldnRYVVNqcHJZOFlsbmd6STFJaFZYc1k0UkVQTnFfZUk3RDlnekZocnVEUm9SbHBGOHJYejJORWxyMmMtRW9mdnpxNlQ0b0xtSDdFdVBheFFIM2lWZ0dxcVBzT0xMd1J2TlBEUWRXdVhTUWthMktDaDBOcmY3RzMzd0w2NFkwYjBVLV9FNDEtaWYxdVY5ZzVlUEx4akVkRnM?oc=5,,,,,,,ongoing,,,,,,,,,,Box Elder County imposes 180-day moratorium on new data centers... with a catch - FOX 13 News Utah,,,,,,,,,
Pallone Calls for National AI Data Center Moratori,,,Unknown,,,1,https://news.google.com/rss/articles/CBMi1gFBVV95cUxPSzBuN0NLVGc5Q0dUWFRHUzRhU2Ewa2VnVk9QVzN4WTY4V0dieTVUOHVlZW5jM2tzRFZ3blkyWFM0YTVDUzJ2NHNyV3NMeVpuTjB6UlNiNUJOZEN5UVViS291Y3BLRUZYVVlFbUNPcFI3N1c3cHJkVHpDdnRrTHVnQ1BhNTdVWGx4MWstdFdZOUVCWUhIWk1GYjFZMm9MVUF5bllBNURJaHNCdjM5QmIzRDBRaFhJVFAxVkhWcjg0V2M4N3VUeHcxU3U3X25fRHZfUGgzNGZ3?oc=5,,,,,,,ongoing,,,,,,,,,,"Pallone Calls for National AI Data Center Moratorium at Energy Subcommittee Markup | - Democrats, Energy and Commerce Committee | (.gov)",,,,,,,,,
U.S. Rep Frank Pallone backs national moratorium o,,,Unknown,,,1,https://news.google.com/rss/articles/CBMiqwFBVV95cUxNUXVvRUhDLW5XQzNKWXhZQzF5WGtpZm53dC1Tbld1OTJ4ajE2cWQzc3pzclhDVUJLUWt2T2VrSjdMNTh4LTd0c25scDd1RWQxX2RlZkd6WlgyYU9vRnRsQmpJNHEwbWp6VEFaM1BieGEycnU2M3ZHcmJUXzZ3M3NEYzdmSmdOZWpmeFk0bGNQQ0VvUGR1Tk1GdGVaWnQwcWpJRFNEY1dSM2RycWM?oc=5,,,,,,,ongoing,,,,,,,,,,U.S. Rep Frank Pallone backs national moratorium on AI data centers - The Jersey Vindicator,,,,,,,,,
Pallone Supports National AI Data Center Moratoriu,,,Unknown,,,1,https://news.google.com/rss/articles/CBMilwFBVV95cUxOd2xoU1BtZzB6b29kNW5XbThnbUUwYm1scUlGMzB0Um1VQ09yV2poSW5WUnhDZWo0VVFLbHZOTlJZTml6NEpZcmxQYjJoRHZpREJ1c3RJZ0RNWjA2Um1kMXpWVUIyUVZ2UjktTTY3bXZkOHJXOG9fLUNjSmlRRHlRcmVjS29qcUppX2FYcUZxaUZDMGRRczRB?oc=5,,,,,,,ongoing,,,,,,,,,,Pallone Supports National AI Data Center Moratorium - Insider NJ,,,,,,,,,
Top House Democrat calls for moratorium on data ce,,,Unknown,,,1,https://news.google.com/rss/articles/CBMi1gFBVV95cUxPRGZQYy1oemlYelRSY2xOWUhJWnBHUWY5dGVSazhKRTRrSHpydDBzbWhyc1M0VWVyOVg1YWRwMWRMWEpWcnJHNGh5dDM4LUMxLTNaVl9uVkR3OWZKb0FBSEdRSGlnVWxlVHl6SUwwV3NubFNOeGkyemprR0RQaG5CLVdKbXpDUk51R0h0T2h6Ny1YemQ1Qmgtak5UUHhaZDFIa2YyYzN5TUpyWW9wOENmaEdGc2pEQ3liWjQ1cXdLbTZfOTVVV0VYRVUzbGIwZTllaUNPQk5n?oc=5,,,,,,,ongoing,,,,,,,,,,Top House Democrat calls for moratorium on data centers - Washington Examiner,,,,,,,,,
Cache County Council dodges bullet by imposing pre,,,Unknown,,,1,https://news.google.com/rss/articles/CBMiqgFBVV95cUxQTGVuSHJTUlltZF85SC1faTdIMVhXdUd2eEdQZlFZVmtELTBrTXB5OGxJd2Z3Ull4eExiN0tnMER5dTVwd0FVTEZGbm5xbEN0cUVrQkxlOW05eVlhUGZ5RDJ1ZHpucE9NMWhJbzhtSjZpY1g1MzlMdGo1clFtS0MtOEF6NXdHNHRPTHh6RmJMYnd2MnFqcjVOMHJDMFBlWFFndGUyb2VLSnk0dw?oc=5,,,,,,,ongoing,,,,,,,,,,Cache County Council dodges bullet by imposing preemptive moratorium on data centers - KVNU,,,,,,,,,
A one-year moratorium may be coming for data cente,,,Unknown,,,1,https://news.google.com/rss/articles/CBMimgFBVV95cUxPcnd3WXhvU1Jvc05LTURDdzF1LW0zaUpvay04TkVfYVpGMDFfQlBGR2lZT3hlT0VOSmpDc0tnNExnQXRpdDhpSWtZRDRGOTc1WU92R1VIc3FJclFYNllEazZYVmxpNlVOdm14d2FFU1R5VmFvaUJOMVR5YnZJNzRGd3ZvQ29Xb2V2OG9haS1yeGdJMGxRVk1HbVpB?oc=5,,,,,,,ongoing,,,,,,,,,,A one-year moratorium may be coming for data centers in Pasco County - WUSF,,,,,,,,,
Brown County committee declines action on data cen,,,Unknown,,,1,https://news.google.com/rss/articles/CBMimwFBVV95cUxQMkxJdjNBTWRpUlVtRjU1b3pGVXZiaFVTVWdPYmFMdTM4cGduLXM0RG5sb2tCbDljcmNRa1AxcGFFckZJeXZsWlJCSlcyUDJWTGN5azI4aDd1cGVPQ3lVMklfcVBLSXUtU0ZrLTdhQTlJN3ZJeE43b3VQMXF0TkxwYnJ5M0lrRGlHM3B6QzV2ZndXX3VEanpFUGF5SdIBrwFBVV95cUxNRTBxT1JoSnRGd1N1blhCdldOVlN2OS1QZU51eDlaLVFvclNNTzZCSXBVY3FQSGZodmg2TFJWS1FVMGFUQUhMaHpleUpyNnk1cWt6ODNEMENJaVE2Q1BCT1JTUVdtaWxfclljNkxPN3lWWjVPUnR2VWdwSEYyQmgyT0tnS290dkVoR0lzdEJIcEE0YnE2Z3AyY2pWR2Y2aVFWVXNFYXBFUUJvNDE0c1JZ?oc=5,,,,,,,ongoing,,,,,,,,,,Brown County committee declines action on data center moratorium - WBAY,,,,,,,,,
East Texas county judge says state law limits opti,,,Unknown,,,1,https://news.google.com/rss/articles/CBMihgFBVV95cUxQZlc5c0N3aV8yaEI2aDd2clNUeHg5RThyb1hhVUR1ZE5IZUsyVW8zTDdrYmdPeDg2bzhBVVU3YnIxSkpDaEhSOG4tTXVNbUxIblJzSm12U0k5NTRBd1VYVzVDZklkd1RyQ0JJV2N5My1EMXhWNHlWdm5MMXJiVHR1OHNpWklHZ9IBiwFBVV95cUxOYVNaZWota2VYRkVFbXlMbnFSSjNyTUVHdXFvTmdCWG5MWVNGcWtDb0dpWG9ZeENISE1NNkpsM2ttUDZtNkduVHczUmFpWDFGTmxoSFc0MHVVUk1la2FIYU9tR3I4bFhmN05HZFAzSnpkV3VlRHNObEhDTHNqQmpzVDZZa19yNFZmVjYw?oc=5,,,,,,,ongoing,,,,,,,,,,East Texas county judge says state law limits options as residents oppose data center - FOX 26 Houston,,,,,,,,,
"Where legislatures lag, local officials are stoppi",,,Unknown,,,1,https://news.google.com/rss/articles/CBMixgFBVV95cUxQdXdkdUhFMXFCSVNDVjRLUnVGa1h6ZFk4WmR1cUZudEhpY1BseFcyejMtcERpQnB6XzlFdXVucEJnVVJPMDJaM2k4UkUxeEppc1pITGlHcjdmZm5UdWFHUkRmeW5yNFFuUDV4VXdmbm5QNEV6YndCNFktVnNnT1h5S3M4QXlXYkU4dWtYY3c1T09JbjBhTDlBNmpwbExSSVdTOGJLa0ZzbkpHdEtrMjFmd2RRWHdCanBNaDcwSGZ6aXpGYS1kQVE?oc=5,,,,,,,ongoing,,,,,,,,,,"Where legislatures lag, local officials are stopping data centers altogether - MinnPost",,,,,,,,,
More cities are pressing pause on data centers as ,,,Unknown,,,1,https://news.google.com/rss/articles/CBMiogFBVV95cUxPSHAwaUxMM2o0Q1AwZjJ5a2kzNUhnYk1oTTZyR05teUlGd2ZDVU1pRHZwNGE2VVJjVVE1S2hOZWdaNUh0RnpKa2xaOVpBUm1yeHI4VjFUQVU4bE5iU1dNYzRLWGtiMkE2bW5RYmhpcWdST09oZmZRbVd2VWxYaEFrS1ZySTdudU05VEdhQmh5cXBNMFNiT3RJcE9FRWVmaWs4dUE?oc=5,,,,,,,ongoing,,,,,,,,,,More cities are pressing pause on data centers as local backlash grows - TiffinOhio.net,,,,,,,,,
Pallone calls for national data center moratorium ,,,Unknown,,,1,https://news.google.com/rss/articles/CBMivAFBVV95cUxPSGNZMlNpdzZmN1FJLUwtSXd6eTgyeEpEN2F0R1JUMW4zTFljU3lKVVRhM2hJRW1VUGhvQ1UyXzJLb2lnaE80dzQ0OTVNM0E2RFR2N01qcXdEMzZNLXNoV0RuQW5DZ2loclNMS2dfbnRiVWRzQnc4ZGlzZ3Ywck9VbHo0RlJSODNpTmJDakNTd251UTI5ZW9QMDA5Vzg1YlZkdlZ3RUtseUJqM3drakl6QzNlakswRGU4R0RtZg?oc=5,,,,,,,ongoing,,,,,,,,,,Pallone calls for national data center moratorium - Politico,,,,,,,,,
DeKalb Commission denies data center regulations -,,,Unknown,,,1,https://news.google.com/rss/articles/CBMigAFBVV95cUxPN0xHbVFVMkRwbzlfU2ZxZEV1Z2s5NlhEQ3BCNmFIMW5YMGZTX0J6X3l6aG5kOW84RWxOMFhHOTVrc0MtTHNIZTdtODBhNjBGa0t3ckFvcVFJNHphUTAwMk1HNWNxU0RoMDlFUUFISlpLX3owTmJsNVNyaC1YYjNjdQ?oc=5,,,,,,,ongoing,,,,,,,,,,DeKalb Commission denies data center regulations - WABE,,,,,,,,,
The 300-Plus Bans and Moratoriums Threatening the ,,,Unknown,,,1,https://news.google.com/rss/articles/CBMinwFBVV95cUxNejlJTzItQW5TYVNXUjJTRmhuUm52OUxCc2hHYVpOYTBITWJYM2ZsZVJUM1IySzBFVHJYenZOaURnNjBGSzlEV3g0MXRxZ3lBXy1xTF93YjFURWdHbUtFZzk0Zm8wV0w0bFU4bTJrX3JNYi1CaEJuNV9UQ25MdV9USG9DbldJX0d5bHZjVTB3VjR1enpDbXlWVFcwZ3BxZ2s?oc=5,,,,,,,ongoing,,,,,,,,,,The 300-Plus Bans and Moratoriums Threatening the U.S. Data Center Boom - The Information,,,,,,,,,
America’s data-centre backlash puts the AI boom at,,,Unknown,,,1,https://news.google.com/rss/articles/CBMiogFBVV95cUxNMDgyUmM3WW5PYzgzNXVLck5ReTZoZlhITEdkNDZaaFp1QXFpN2N2MmxsUlRuZEZRbGVkSmNxcmt2clNCZnZ0ZUFuRy16dzJXVzdxZUVIem1rWHVpOExWaTBhQWNZZHpmZ05jLTRzR2V5VmQzaUh6R0E0ejRBOXJhYThmYUlBSm5tS3IxUC0wSUhYVVBjMVlXUlJab01vTVVoMFE?oc=5,,,,,,,ongoing,,,,,,,,,,America’s data-centre backlash puts the AI boom at risk - The Economist,,,,,,,,,
‘Common-sense protections’: Rep. André Carson intr,,,Unknown,,,1,https://news.google.com/rss/articles/CBMitwFBVV95cUxQVi1SWjR0SnNLbVF2TG1wbnowNHJ4Njc2WlRPTTVicTkybUIwdzctTjZFaVVLcTJ4SC1aXzFWYmVuRFFOVFNhSlFYeHJ1S0NSV2dZNWVHdXNuMnRHZmlTa1hNT0s4Mjd3b1ZsVFZ6dGdEMWpsVWpGNkM4eFZqV3M0X3ZleXBjTGNOV1NNUWhBLWtPeWZNWk5fTVl6SUpTcUU4N0o2c1M0R20tTWE4eGVYTXB0N1ZSUGfSAbwBQVVfeXFMTjZrUEhPWlA0V0g1YmN4alkzdlh0RkpTZnlKNDFRMXM0SHpyQ2pEeENzZEVGRjZjbjNublotd29rUWF6VnJhb0Q0SjY2RFMwLTlQR2VoS0J6WTNUZ01Yck42WGlsc1RKaGV2RDIxY1ZVUy0wNndVUUtoLXlnUElHUDBJOEVnODU1Q1QwelVIVXlHaWRTcWd2ZWlyS2FNZW1VazJxSnJUcmJGTGx0ZHFOMFVNdjd0LWIwZ3kzTUs?oc=5,,,,,,,ongoing,,,,,,,,,,‘Common-sense protections’: Rep. André Carson introduces AI data center moratorium bill - Fox 59,,,,,,,,,
"This rural, California county approved a massive n",,,Unknown,,,1,https://news.google.com/rss/articles/CBMie0FVX3lxTE1hZmVsLUhrUUlWWlhxUXhUZzRyXzNwcFBycVJkc1M3NWNRUVMwdTNWc2ZJTDJ1eWxuYTlReWpsT3E5b0tYYWhsVEpmQWFGeEc5NUxOVnJObElDbDhENlBaY0hxSGRTQWFpZzZtdzNqRGdHMVBtakdqZGJYUQ?oc=5,,,,,,,ongoing,,,,,,,,,,"This rural, California county approved a massive new data center. Then it changed its mind. - CalMatters",,,,,,,,,
How Greater Cincinnati is preparing for Ohio's dat,,,Unknown,,,1,https://news.google.com/rss/articles/CBMinAFBVV95cUxPWXBRbkszOVlsckQzRjhnd01BYUp4M0czZkppc21IZzVWYldfY1FxcXZ6cFNJdlB2UmpPTGVhM2tXUWJkakozMWQ2MUFzQ01PbElYNkU2bHhIN0pJUkxkSXlQMmwzMTBPaWMtN21JV1ZkRVBWV0c4VllLVUZGTVktMnFHMDllcEROZnlVRjA4Y0RSM3hvbEFleFBhejQ?oc=5,,,,,,,ongoing,,,,,,,,,,How Greater Cincinnati is preparing for Ohio's data center boom - WLWT,,,,,,,,,
Independence could join KC-area wave of temporary ,,,Unknown,,,1,https://news.google.com/rss/articles/CBMif0FVX3lxTE4zRXg3b08yUEdndTdSWHBUenNoVTh0RG9KNW9teFRMWGlaQngtTGZTNTFVa1RDZ0JlNVdTallBN2NidXFQcGlOd2ZqV2RRUkN1N210R29JY3pydzJvbmk0NVoyMmM4QWE0RTZNMTdmVmQwa01sal9HSzRmTjZtYWPSAX9BVV95cUxNYXc5amM4cnZmVDMyWkkza3JIcUJIS3lRNEh2aFhBSVNhaGZVcDNib3dZaHQ5dS1zR2hqcVBNVlV3Tnc0a0tydlVtamwzcHdTZFNzYXFGR05oWkZuZTZsT1ZUY2QtTTJOZTBuQ3JmZ1ZRSmpvRE1YcHJTcDZoZjUw?oc=5,,,,,,,ongoing,,,,,,,,,,Independence could join KC-area wave of temporary freezes on data center zoning - Kansas City Star,,,,,,,,,
Gallatin delays decision on proposed data center m,,,Unknown,,,1,https://news.google.com/rss/articles/CBMihgNBVV95cUxPVjBjVFNocUtwSlUyTnRyeEx6d195UzI3UTFJUWpsNm5lTnJfLVdkR2JoQjFsYTlzZkFKSUswOTJRTnNYX0duMHlXank4Q0c3R2JtS244ZGNBX2xQcFlRclhVY0FHbmMyb0Vfb0NnYmhWTjdNT2tKMG9YSUN5bXE2ZnU1SUlkT0h1MFA2b29jMGRadFdYQ2oyWHpEU085S2FSTVJQMzNFRHk3a0hWMWRlQXpVcXN3d1VhMWhSX2dsYWR1N0RvMTBUa0ZrMWRvc0NmdGE1bzduSjJPRnpQcmQ4Y1RrSFN5eGpVaVVKc0d6OG9tcU40MFB5b3RvdnhiZ3VuMkpZZE9ZWFJMX2MtZE9uRkdnX3ZybTlqVElxSGdiYW5LVHhFZ0RHVDEzeG5sQVVvX2NYSXVEcF9oc1RTMHhNa3VMcDJVSkI0UElRcWJ6cXNzaWE2a09zZEJ1U3MxZktlaWQ3TkowbW9UajlsSDZhbEd5UE1DWHdvVngxSUZKdVpib29oX2c?oc=5,,,,,,,ongoing,,,,,,,,,,Gallatin delays decision on proposed data center moratorium for further review - WZTV,,,,,,,,,
Reno hit pause on approving data centers. Now what,,,Unknown,,,1,https://news.google.com/rss/articles/CBMinwFBVV95cUxOb3pJMkJIaEFJYkhla3RHRy1IeXplRk93clhkWTBZMkk2U1NQVXN5QnNneFBGR0d5Mi1fZE92c0RVWlNtaXZJUmswaXVUdFlUQ3g4NDNwZ2hYTHJLcWJ5S0Y3N2JLemJZUzJLRmd1YTc5QS1nWWkxY0dvS0Q1TThIMmNSSXpMY3VKZFdNRGhsNXBIdExpVnRjdGRIWndPLWs?oc=5,,,,,,,ongoing,,,,,,,,,,Reno hit pause on approving data centers. Now what happens? - The Nevada Independent,,,,,,,,,
City of Holyoke,City of Holyoke,2026-06-18,Chestnut River Power and Infrastructure,"City of Holyoke, MA",ordinance; zoning_restriction,1,"{'url': 'https://gazettenet.com/2026/06/17/holyoke-first-in-state-to-ban-development-of-ai-data-centers/', 'title': 'Holyoke first in state to ban development of AI data centers - Daily Hampshire Gazette'}",MA,Hampden,local,zoning; grid_energy; community_impact,,city_council,passed,win,,Chestnut River Power and Infrastructure,,,12,,,,"Holyoke became the first Massachusetts city to enact a citywide ban on AI data centers. The City Council voted 9-4 on June 16-17 to prohibit any AI data center development over 12 megawatts, and Mayor Joshua Garcia signed the restrictions into effect on June 18, 2026. The ban was prompted by Chestnut River Power and Infrastructure's proposed 20-megawatt, ~$200 million facility at 100 Water Street; the developer said it would review the ordinance and explore alternatives. Distinct from Mansfield MA's May town-meeting zoning bylaw (which is a tiered restriction awaiting AG approval, not a citywide ban).","{'url': 'https://gazettenet.com/2026/06/17/holyoke-first-in-state-to-ban-development-of-ai-data-centers/', 'title': 'Holyoke first in state to ban development of AI data centers - Daily Hampshire Gazette'}; {'url': 'https://www.wamc.org/news/2026-06-17/holyoke-city-council-approves-data-center-ban', 'title': 'Holyoke City Council approves data center ban - WAMC'}",,,,,,,42.2043,-72.6162
Sayreville Borough,Sayreville Borough,2026-06-15,Unknown,"Sayreville Borough, NJ",moratorium,1,"{'url': 'https://magic983.com/2026/06/22/sayreville-council-approves-18-month-data-center-moratorium-rejects-permanent-ban/', 'title': 'Sayreville Council Approves 18-Month Data Center Moratorium, Rejects Permanent Ban - Magic 98.3 FM'}",NJ,Middlesex,local,zoning; grid_energy; community_impact,,city_council,pending,mixed,,,,,,,,,"Sayreville Borough Council introduced an 18-month moratorium on data center construction on June 15, 2026, with five members voting yes; the freeze would block new data center facilities through the end of 2027. Council President John Zebrowski brought the measure to allow time to study whether data centers fit the borough. Councilman Herve Blemur's push for a permanent ban instead failed on a 3-3 tie, with Mayor Kennedy O'Brien breaking the tie against it over litigation concerns. The ordinance is not yet law; a public hearing and final vote are scheduled for July 20, 2026. No data center application is currently pending in Sayreville.","{'url': 'https://magic983.com/2026/06/22/sayreville-council-approves-18-month-data-center-moratorium-rejects-permanent-ban/', 'title': 'Sayreville Council Approves 18-Month Data Center Moratorium, Rejects Permanent Ban - Magic 98.3 FM'}; {'url': 'https://patch.com/new-jersey/matawan-aberdeen/sayreville-latest-nj-town-question-data-centers', 'title': 'Sayreville The Latest NJ Town To Question Data Centers - Patch'}",,,,,,,40.4593,-74.361
Bernards Township,Bernards Township,2026-06-18,Unknown,"Bernards Township, NJ",ordinance; zoning_restriction,1,"{'url': 'https://patch.com/new-jersey/baskingridge/data-center-ban-ordinance-backed-bernards-township-planning-board', 'title': 'Data Center Ban Ordinance Backed By Bernards Township Planning Board - Patch'}",NJ,Somerset,local,zoning; grid_energy; water,,township_board,pending,pending,,,,,,,,,"Bernards Township (Basking Ridge) is advancing Ordinance No. 2599, which would remove 'data processing centers' as a permitted use in the township's E1-E5 office zones and prohibit data centers township-wide unless otherwise allowed. The Township Committee introduced it May 26 and sent it to the Planning Board, which in mid-June found it 'not inconsistent' with the master plan and endorsed it. A public hearing and final adoption vote are scheduled for the June 23, 2026 Township Committee meeting. No data center application is pending; officials describe it as preemptive.","{'url': 'https://patch.com/new-jersey/baskingridge/data-center-ban-ordinance-backed-bernards-township-planning-board', 'title': 'Data Center Ban Ordinance Backed By Bernards Township Planning Board - Patch'}; {'url': 'https://patch.com/new-jersey/baskingridge/bernards-township-moves-ban-data-centers', 'title': 'Bernards Township Moves To Ban Data Centers - Patch'}",,,,,,,40.6834,-74.5663
City of Asbury Park,City of Asbury Park,2026-06-10,Unknown,"City of Asbury Park, NJ",ordinance; other_opposition,1,"{'url': 'https://patch.com/new-jersey/asbury-park/asbury-park-passes-data-center-ban-within-city-limits', 'title': 'Asbury Park Passes Data Center Ban - Patch'}",NJ,Monmouth,local,zoning; grid_energy; water; noise,,city_council,passed,win,,,,,,,,,"On June 10, 2026, the Asbury Park City Council unanimously passed a resolution banning data centers within city limits and calling on Gov. Mikie Sherrill to enact a statewide moratorium on new data center construction. The council cited impacts on the regional electrical grid, local water resources used for cooling, continuous noise, and diesel generator emissions. Mayor John Moor said 'data centers of this scale need land, water and power that a city like ours just doesn't have to spare.' Asbury Park joined Red Bank (which passed its ban a day later) in the wave of Monmouth County bans. Note: action dated June 10, just before the June 14 window, but flagged because it is absent from the tracked database.","{'url': 'https://patch.com/new-jersey/asbury-park/asbury-park-passes-data-center-ban-within-city-limits', 'title': 'Asbury Park Passes Data Center Ban - Patch'}; {'url': 'https://www.tapinto.net/towns/asbury-park/sections/government/articles/asbury-park-calls-for-statewide-halt-on-new-data-center-construction', 'title': 'Asbury Park Calls for Statewide Halt on New Data Center Construction - TAPinto'}",,,,,,,40.2204,-74.0121
Chester County,Chester County,2026-06-15,Unknown,"Chester County, SC",moratorium; ordinance,1,"{'url': 'https://www.southcarolinapublicradio.org/sc-news/2026-06-18/chester-county-council-considers-temporary-pause-on-data-center-applications', 'title': 'Chester County Council approves first reading to pause future data center applications (SC Public Radio)'}",SC,Chester County,local,zoning; grid_energy; community_impact,,county_commission,pending,pending,,,,,,,,,"On June 15, 2026 the Chester County (SC) Council approved FIRST READING of a six-month pause on accepting new data center applications, to study power-grid demand, local utility capacity, environmental, economic, and community impacts. It applies to future applications only (none currently pending, though officials reported developer interest). Council Chair Pete Wilson framed it as a chance to 'learn from experts, hear from residents.' Chester recently adopted new data center zoning rules (water use, noise, setbacks); the pause sits alongside neighboring York County's moratorium effort in the Charlotte-region SC moratorium wave. Additional readings required to take effect.","{'url': 'https://www.southcarolinapublicradio.org/sc-news/2026-06-18/chester-county-council-considers-temporary-pause-on-data-center-applications', 'title': 'Chester County Council approves first reading to pause future data center applications (SC Public Radio)'}; {'url': 'https://www.wfae.org/charlotte-area/2026-06-18/chester-county-approves-temporary-moratorium-for-data-center-projects', 'title': 'Chester County approves temporary moratorium for data center projects (WFAE)'}; {'url': 'https://www.wbtv.com/2026/06/19/york-county-discusses-project-palmetto-rock-chester-county-data-center-moratorium-rock-hill-juneteenth-celebration/', 'title': 'Chester County data center moratorium (WBTV)'}",,,,,,,34.7044,-81.2126
Warren County,Warren County,2026-06-22,Unknown,"Warren County, TN",moratorium,1,"{'url': 'https://www.newschannel5.com/news/state/tennessee/warren-county/this-tenn-city-just-passed-a-pause-on-data-centers-town-hall-scheduled-to-discuss-future-regulations', 'title': 'This Tenn. city just passed a pause on data centers (NewsChannel 5)'}",TN,Warren County,local,zoning; grid_energy; water; community_impact,,county_commission,pending,pending,,,,,25,,,,"Warren County (TN) scheduled a June 22, 2026 vote on a temporary data center ban/moratorium covering its entire jurisdiction, following the City of McMinnville's (in Warren County) unanimous June 9 final passage of an 18-month moratorium. The county-level push responds to the proposed ~96,064-sq-ft, 25 MW Hixson Data Center (natural-gas and diesel generators); officials cited concerns over electrical grid capacity, water and stormwater impacts, environmental and public-health concerns, noise, and community fit. Part of the June 22 Tennessee moratorium cluster with Knox County. Distinct from the existing McMinnville (city) entry.","{'url': 'https://www.newschannel5.com/news/state/tennessee/warren-county/this-tenn-city-just-passed-a-pause-on-data-centers-town-hall-scheduled-to-discuss-future-regulations', 'title': 'This Tenn. city just passed a pause on data centers (NewsChannel 5)'}; {'url': 'https://www.tomshardware.com/tech-industry/artificial-intelligence/multiple-small-tennessee-counties-pass-temporary-data-center-bans-nashville-also-passed-near-unanimous-moratorium-on-first-reading', 'title': ""Multiple small Tennessee counties pass temporary data center bans (Tom's Hardware)""}",,,,,,,35.6834,-85.77
Butler County,Butler County,2026-06-16,Prologis,"Butler County, OH",moratorium,1,"{'url': 'https://www.wvxu.org/environment/2026-06-17/butler-county-approves-data-center-moratorium', 'title': 'Butler County Commissioners approve short-term data center moratorium — WVXU'}",OH,Butler County,local,zoning; grid_energy; community_impact,,county_commission,passed,win,,Prologis,,,,,,,"On Tuesday June 16, 2026 the Butler County (Ohio) Commissioners voted unanimously to approve a six-month moratorium on data centers, effective immediately, covering the six townships under county zoning control (Hanover, Lemon, Madison, Milford, Oxford, Ross). All six townships had requested the pause; Oxford Township voted 3-0 for it on June 8. The moratorium bars approval, establishment, construction or permitting of any data center while the county studies the issue (it hired outside counsel Taft Stettinius & Hollister on June 9). It does NOT impact Prologis's ~1M sq ft 'Project Mila' data center already underway in Trenton, nor a separate proposed Trenton project. Commissioner Don Dixon cited water, sewer, and electrical infrastructure concerns.","{'url': 'https://www.wvxu.org/environment/2026-06-17/butler-county-approves-data-center-moratorium', 'title': 'Butler County Commissioners approve short-term data center moratorium — WVXU'}; {'url': 'https://www.journal-news.com/local/butler-county-approves-6-month-data-center-moratorium/article_cdf1ab44-e310-5697-8a14-ebbf0311f198.html', 'title': 'Butler County approves 6-month data center moratorium — Journal-News'}; {'url': 'https://www.oxfreepress.com/six-townships-voted-to-support-data-center-moratorium-what-now/', 'title': 'Six townships voted to support a data center moratorium. What now? — Oxford Free Press'}",,,,,,,39.502,-84.57
La Crosse County,La Crosse County,2026-06-18,Unknown,"La Crosse County, WI",moratorium,1,"{'url': 'https://www.wxow.com/news/la-crosse-county-board-approves-data-center-moratorium/article_89162c21-3240-4d86-9e2d-8a6c3489ddc8.html', 'title': 'La Crosse County Board approves data center moratorium — WXOW'}",WI,La Crosse County,local,zoning; grid_energy; water,,county_commission,passed,win,,,,2000,,,,,"On Thursday June 18, 2026 the La Crosse County (Wisconsin) Board of Supervisors approved an 18-month moratorium on new data center decisions and development by a 26-2 vote (two members absent; Ken Schlimgen and Jeff Fimreite the no votes). The pause lets a special committee, created in May and led by board members Dillon Mader and Lia Manock, study environmental and economic impacts and develop county policy. Supporters note it does not prohibit data centers from eventually locating in the county. Context: a roughly $2 billion data center proposal in the Driftless Area had earlier fallen apart.","{'url': 'https://www.wxow.com/news/la-crosse-county-board-approves-data-center-moratorium/article_89162c21-3240-4d86-9e2d-8a6c3489ddc8.html', 'title': 'La Crosse County Board approves data center moratorium — WXOW'}; {'url': 'https://www.wizmnews.com/2026/06/18/mader-on-data-center-moratorium/', 'title': 'Dillon Mader on La Crosse County Board passing 18-month data center moratorium — WIZM'}",,,,,,,43.8014,-91.2396
